Date,Passenger Car
1975M01,2640255
1975M02,2648909
1975M03,2662399
1975M04,2674980
1975M05,2687314
1975M06,2702950
1975M07,2711656
1975M08,2719059
1975M09,2734796
1975M10,2748073
1975M11,2754011
1975M12,2760264
1976M01,2761392
1976M02,2769161
1976M03,2782744
1976M04,2802712
1976M05,2820744
1976M06,2837421
1976M07,2846127
1976M08,2851100
1976M09,2863181
1976M10,2874660
1976M11,2877550
1976M12,2881311
1977M01,2875011
1977M02,2878163
1977M03,2880607
1977M04,2891459
1977M05,2901294
1977M06,2903934
1977M07,2897946
1977M08,2888794
1977M09,2887133
1977M10,2884138
1977M11,2871440
1977M12,2857141
1978M01,2844876
1978M02,2842463
1978M03,2851062
1978M04,2873433
1978M05,2882580
1978M06,2891778
1978M07,2894187
1978M08,2891218
1978M09,2892947
1978M10,2888032
1978M11,2859810
1978M12,2856177
1979M01,2847099
1979M02,2847925
1979M03,2860364
1979M04,2875510
1979M05,2889180
1979M06,2903989
1979M07,2901070
1979M08,2899198
1979M09,2899445
1979M10,2889822
1979M11,2875286
1979M12,2868302
1980M01,2853561
1980M02,2853766
1980M03,2867243
1980M04,2890019
1980M05,2907292
1980M06,2917182
1980M07,2919258
1980M08,2924390
1980M09,2917315
1980M10,2901188
1980M11,2893791
1980M12,2882956
1981M01,2875760
1981M02,2878205
1981M03,2886930
1981M04,2912196
1981M05,2928915
1981M06,2939050
1981M07,2939068
1981M08,2939433
1981M09,2932697
1981M10,2923379
1981M11,2905828
1981M12,2893242
1982M01,2886804
1982M02,2889867
1982M03,2906842
1982M04,2938241
1982M05,2958083
1982M06,2972915
1982M07,2977044
1982M08,2977083
1982M09,2974085
1982M10,2969151
1982M11,2944566
1982M12,2935988
1983M01,2928899
1983M02,2932105
1983M03,2956800
1983M04,2986044
1983M05,3006778
1983M06,3023917
1983M07,3027907
1983M08,3029329
1983M09,3028908
1983M10,3021802
1983M11,3008871
1983M12,3006761
1984M01,3000709
1984M02,3004462
1984M03,3026184
1984M04,3056330
1984M05,3081317
1984M06,3098119
1984M07,3100135
1984M08,3102657
1984M09,3105727
1984M10,3094032
1984M11,3084572
1984M12,3080981
1985M01,3071646
1985M02,3074358
1985M03,3091112
1985M04,3133545
1985M05,3160355
1985M06,3178534
1985M07,3178940
1985M08,3183226
1985M09,3181097
1985M10,3172104
1985M11,3159690
1985M12,3151195
1986M01,3141939
1986M02,3147521
1986M03,3171208
1986M04,3209951
1986M05,3239503
1986M06,3258247
1986M07,3264575
1986M08,3271657
1986M09,3269956
1986M10,3268066
1986M11,3260740
1986M12,3253601
1987M01,3243261
1987M02,3249066
1987M03,3269663
1987M04,3315480
1987M05,3344032
1987M06,3368929
1987M07,3377104
1987M08,3383378
1987M09,3383984
1987M10,3385160
1987M11,3374796
1987M12,3366571
1988M01,3363826
1988M02,3369692
1988M03,3397306
1988M04,3440169
1988M05,3467828
1988M06,3488814
1988M07,3497031
1988M08,3504035
1988M09,3506810
1988M10,3503374
1988M11,3489672
1988M12,3482656
1989M01,3479119
1989M02,3487716
1989M03,3516252
1989M04,3553171
1989M05,3573492
1989M06,3594253
1989M07,3595205
1989M08,3601429
1989M09,3605467
1989M10,3597342
1989M11,3586489
1989M12,3578042
1990M01,3570268
1990M02,3576833
1990M03,3599131
1990M04,3626814
1990M05,3647738
1990M06,3665827
1990M07,3664056
1990M08,3664447
1990M09,3659355
1990M10,3637024
1990M11,3613311
1990M12,3600518
1991M01,3584051
1991M02,3591006
1991M03,3602294
1991M04,3631231
1991M05,3650920
1991M06,3664459
1991M07,3665124
1991M08,3666514
1991M09,3657653
1991M10,3643118
1991M11,3629734
1991M12,3621114
1992M01,3605200
1992M02,3602474
1992M03,3612271
1992M04,3633991
1992M05,3652197
1992M06,3659537
1992M07,3660086
1992M08,3656900
1992M09,3641654
1992M10,3623273
1992M11,3601642
1992M12,3588644
1993M01,3579140
1993M02,3576333
1993M03,3582852
1993M04,3604778
1993M05,3620478
1993M06,3626946
1993M07,3628378
1993M08,3624493
1993M09,3613112
1993M10,3598142
1993M11,3577303
1993M12,3566040
1994M01,3559792
1994M02,3558293
1994M03,3571965
1994M04,3599311
1994M05,3614755
1994M06,3625748
1994M07,3630078
1994M08,3629426
1994M09,3624057
1994M10,3613816
1994M11,3600099
1994M12,3594199
1995M01,3587559
1995M02,3589519
1995M03,3603810
1995M04,3626459
1995M05,3643268
1995M06,3656810
1995M07,3659153
1995M08,3659879
1995M09,3658636
1995M10,3649175
1995M11,3636290
1995M12,3630760
1996M01,3621916
1996M02,3623724
1996M03,3634297
1996M04,3655449
1996M05,3672669
1996M06,3685722
1996M07,3689174
1996M08,3692953
1996M09,3690117
1996M10,3674881
1996M11,3663767
1996M12,3654920
1997M01,3645529
1997M02,3646875
1997M03,3664076
1997M04,3685472
1997M05,3705390
1997M06,3719205
1997M07,3726103
1997M08,3731489
1997M09,3726902
1997M10,3721371
1997M11,3713519
1997M12,3702778
1998M01,3699862
1998M02,3703066
1998M03,3716385
1998M04,3744926
