YYYYMM,Value,Description,Unit
197901,94985.712,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197902,84747.823,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197903,85219.537,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197904,80450.173,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197905,86149.298,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197906,90817.26,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197907,97879.473,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197908,97910.027,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197909,85664.344,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197910,87527.612,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197911,87455.783,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197912,96230.048,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198001,103257.677,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198002,98150.804,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198003,95386.178,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198004,83561.813,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198005,84884.262,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198006,93691.765,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198007,108456.913,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198008,107579.936,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198009,97556.952,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198010,91196.02,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198011,93500.667,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198012,104339.38,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198101,111764.813,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198102,97653.289,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198103,99482.128,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198104,88109.349,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198105,88940.698,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198106,99837.068,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198107,112853.683,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198108,108402.855,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198109,97663.878,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198110,97046.239,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198111,94841.001,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198112,106608.232,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198201,113123.631,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198202,96905.528,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198203,97625.094,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198204,88115.664,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198205,92997.402,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198206,95313.637,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198207,110617.225,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198208,110124.075,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198209,96895.697,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198210,93769.09,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198211,95547.275,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198212,100969.888,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198301,108164.265,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198302,92691.602,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198303,95598.248,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198304,88113.755,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198305,91296.386,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198306,101512.015,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198307,121560.33,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198308,129312.743,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198309,108867.586,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198310,101951.282,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198311,103225.255,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198312,117130.811,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198401,120850.261,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198402,104706.39,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198403,111157.719,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198404,97541.501,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198405,100138.89,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198406,115425.514,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198407,121094.329,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198408,127743.902,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198409,108861.54,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198410,110800.527,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198411,109759.28,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198412,113600.9,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198501,129092.471,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198502,112036.83,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198503,111390.703,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198504,104790.423,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198505,111514.668,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198506,115583.004,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198507,128880.144,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198508,126549.659,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198509,114630.253,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198510,111053.345,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198511,108814.643,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198512,127791.979,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198601,130189.924,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198602,110982.428,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198603,110389.796,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198604,98995.106,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198605,104900.302,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198606,120153.987,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198607,136653.936,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198608,123617.62,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198609,113957.353,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198610,108583.774,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198611,109045.451,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198612,118361.775,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198701,126630.512,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198702,109647.934,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198703,111920.394,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198704,105474.356,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198705,115155.284,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198706,129350.599,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198707,143502.911,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198708,143194.312,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198709,120777.103,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198710,117742.848,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198711,114171.65,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198712,126213.387,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198801,137845.293,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198802,126267.376,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198803,120033.644,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198804,109135.472,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198805,115195.008,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198806,132267.995,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198807,144301.353,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198808,152376.525,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198809,124409.811,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198810,121339.387,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198811,121053.811,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198812,136427.1,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198901,137733.369,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198902,129611.076,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198903,129192.832,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198904,117867.309,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198905,121495.442,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198906,131163.721,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198907,141189.218,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198908,144610.455,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198909,129399.231,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198910,124912.222,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198911,126816.531,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198912,149787.733,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199001,135489.955,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199002,118755.094,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199003,125908.652,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199004,120002.708,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199005,122507.305,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199006,135553.242,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199007,147354.522,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199008,150453.899,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199009,138427.765,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199010,133108.84,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199011,126815.6,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199012,139633.895,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199101,145371.753,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199102,120934.682,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199103,121444.782,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199104,115472.088,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199105,127048.806,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199106,135312.435,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199107,147479.919,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199108,147805.166,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199109,132462.384,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199110,128848.55,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199111,132419.963,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199112,136022.222,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199201,141152.703,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199202,125269.566,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199203,131359.665,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199204,123494.618,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199205,127361.124,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199206,133411.196,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199207,153081.646,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199208,145957.289,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199209,137074.121,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199210,131730.799,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199211,129237.137,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
