Date,Price,Open,High,Low,Volume,Change(%)
25-May-22,1410.45,1435,1442.5,1399.25,9630092,-2.12%
24-May-22,1441,1468.6,1469.55,1435.25,5693167,-1.87%
23-May-22,1468.4,1455.1,1488,1450.05,5887569,0.91%
20-May-22,1455.15,1453,1466.75,1446.7,10488908,1.96%
19-May-22,1427.15,1481,1484.7,1417.65,16561140,-5.44%
18-May-22,1509.2,1522,1549.7,1505.3,6594126,-0.61%
17-May-22,1518.45,1494.9,1525,1480.9,6516378,1.97%
16-May-22,1489.1,1510,1511.85,1478.65,6145331,-1.02%
13-May-22,1504.4,1519.3,1529.25,1498.1,6723761,-0.29%
12-May-22,1508.8,1514,1527.5,1504.3,7034979,-1.18%
11-May-22,1526.75,1549.95,1549.95,1511.6,7846080,-1.69%
10-May-22,1553,1558,1569.15,1546.05,6212545,-1.10%
9-May-22,1570.35,1540,1586.8,1522.15,6832202,1.78%
6-May-22,1542.85,1550,1561.85,1535.05,6171472,-2.67%
5-May-22,1585.15,1560.05,1589.4,1557.45,6144870,3.23%
4-May-22,1535.55,1547.25,1570,1530.15,6220959,-0.35%
2-May-22,1541,1550.9,1552.75,1531,7072627,-1.69%
29-Apr-22,1567.55,1590,1597.3,1560.8,9831395,-0.95%
28-Apr-22,1582.6,1570,1601.8,1557.45,9245177,1.92%
27-Apr-22,1552.8,1572.75,1572.75,1550.35,8819356,-1.78%
26-Apr-22,1581,1577.2,1592,1566.55,5345435,1.27%
25-Apr-22,1561.1,1572.8,1572.8,1554.1,7000570,-1.54%
22-Apr-22,1585.45,1604.35,1610.7,1582.4,8134245,-2.06%
21-Apr-22,1618.8,1595,1627.2,1589.25,7766514,1.96%
20-Apr-22,1587.7,1575,1596.3,1563,10678747,1.65%
19-Apr-22,1562,1636.65,1636.65,1550,17044923,-3.66%
18-Apr-22,1621.4,1605.5,1650,1590,30523965,-7.27%
13-Apr-22,1748.55,1754.95,1757.5,1732,6257693,0.35%
12-Apr-22,1742.45,1757.5,1757.5,1727.75,6456184,-1.36%
11-Apr-22,1766.55,1814,1814,1762.55,8248407,-2.65%
8-Apr-22,1814.6,1823,1838,1808,5131446,0.20%
7-Apr-22,1811,1821.05,1828.15,1807.55,5797544,-0.98%
6-Apr-22,1828.85,1855,1857.5,1822.15,5407453,-1.73%
5-Apr-22,1861.1,1883.8,1889.6,1857.15,5472024,-1.16%
4-Apr-22,1882.95,1889.75,1893,1873,7364074,-1.08%
1-Apr-22,1903.55,1886.85,1910.3,1878.3,6171518,-0.17%
31-Mar-22,1906.85,1900,1913,1894.2,5399145,0.15%
30-Mar-22,1903.95,1910,1919,1895,7795839,0.95%
29-Mar-22,1886,1873.9,1889.4,1860.55,3917785,0.65%
28-Mar-22,1873.9,1866,1880.9,1852.65,4008555,-0.14%
25-Mar-22,1876.55,1892,1894,1858,3438588,-0.54%
24-Mar-22,1886.7,1856.15,1894.6,1856.15,3784303,0.76%
23-Mar-22,1872.4,1897,1900,1857,6192824,-0.79%
22-Mar-22,1887.4,1850,1890,1839,5709382,1.85%
21-Mar-22,1853.05,1861,1886.9,1841.1,8362085,-0.08%
17-Mar-22,1854.6,1923.3,1923.3,1833.05,17731459,-1.84%
16-Mar-22,1889.4,1865,1893.95,1849,5233979,2.72%
15-Mar-22,1839.3,1888.35,1888.35,1830,7140443,-2.72%
14-Mar-22,1890.7,1831.55,1895,1831.55,10289724,3.77%
11-Mar-22,1822,1814,1831.4,1811,4758657,-0.21%
10-Mar-22,1825.9,1844.75,1844.75,1810.2,6547182,0.69%
9-Mar-22,1813.35,1791,1831.6,1791,10193515,1.98%
8-Mar-22,1778.2,1718.45,1800,1718.45,10984500,2.20%
7-Mar-22,1739.85,1697,1751,1696,9742588,0.96%
4-Mar-22,1723.3,1695.25,1736,1681,9074499,0.14%
3-Mar-22,1720.85,1720.2,1733.9,1705.55,7344147,1.06%
2-Mar-22,1702.8,1710,1714.4,1691,6771489,-0.75%
28-Feb-22,1715.6,1682.2,1728.05,1665,15076542,1.24%
25-Feb-22,1694.6,1715,1728.15,1677,9737281,0.98%
24-Feb-22,1678.15,1690.1,1714.95,1670.5,13592379,-3.71%
23-Feb-22,1742.85,1750,1758.25,1733.4,5478811,0.49%
22-Feb-22,1734.35,1699.9,1751,1691.05,8878515,0.21%
21-Feb-22,1730.7,1701,1737.3,1691.5,5120890,1.39%
18-Feb-22,1706.95,1710,1722.5,1703.5,5602215,-1.03%
17-Feb-22,1724.8,1744,1749,1720.3,3937950,-0.49%
16-Feb-22,1733.3,1738.25,1755.45,1726.85,5350642,-0.28%
15-Feb-22,1738.25,1699,1746.75,1690.45,4669915,3.33%
14-Feb-22,1682.2,1690,1718.55,1678.25,7459637,-2.27%
11-Feb-22,1721.35,1740,1745.95,1713,7551371,-2.73%
10-Feb-22,1769.6,1755.65,1773.9,1748.75,4334630,1.86%
9-Feb-22,1737.3,1735,1743,1725,3867244,1.16%
8-Feb-22,1717.3,1710,1725,1696,6053401,0.13%
7-Feb-22,1715,1722.2,1732,1695.4,4310209,-1.50%
4-Feb-22,1741.1,1732,1753.95,1710.15,4700077,0.15%
3-Feb-22,1738.55,1779,1779,1734,3832922,-2.72%
2-Feb-22,1787.1,1789,1792.8,1772,4253717,0.85%
1-Feb-22,1772.05,1766.1,1780,1734.7,5119935,2.06%
31-Jan-22,1736.2,1718,1749.5,1715.35,8788872,2.97%
28-Jan-22,1686.2,1681,1727.55,1679.5,10998502,0.45%
27-Jan-22,1678.6,1702,1709.7,1665,11231734,-2.53%
25-Jan-22,1722.15,1726.6,1740,1700.5,9137653,-0.84%
24-Jan-22,1736.8,1765,1768.65,1728,7116712,-2.74%
21-Jan-22,1785.7,1795,1808,1776,8252758,-2.08%
20-Jan-22,1823.7,1844,1848,1815.5,5533463,-2.32%
19-Jan-22,1867.05,1916,1916,1862.85,5747770,-2.80%
18-Jan-22,1920.75,1922.1,1945,1911.45,3690315,-0.97%
17-Jan-22,1939.5,1938.55,1953.9,1930.5,5262464,0.53%
14-Jan-22,1929.35,1882,1933,1881,7688506,1.72%
13-Jan-22,1896.8,1905,1912.5,1866.35,14277630,1.03%
12-Jan-22,1877.45,1868.9,1889,1860,5362535,1.18%
11-Jan-22,1855.6,1855,1870,1850.15,5142287,0.26%
10-Jan-22,1850.75,1815,1869.9,1813,7857560,2.01%
7-Jan-22,1814.3,1815.45,1836,1806.8,4834389,-0.19%
6-Jan-22,1817.8,1828,1828,1800,6449205,-1.46%
5-Jan-22,1844.65,1900,1902.9,1840,6995719,-2.87%
4-Jan-22,1899.15,1898.45,1906.65,1878,3921999,0.04%
3-Jan-22,1898.45,1887.75,1914.05,1887.75,3329616,0.57%
31-Dec-21,1887.75,1890,1898.35,1871.65,4619420,-0.27%
30-Dec-21,1892.85,1884.5,1909.8,1874.35,4584738,0.39%
29-Dec-21,1885.55,1883.5,1893.8,1876.4,3236635,-0.13%
28-Dec-21,1888,1880.7,1895.9,1878.4,3340933,1.17%
27-Dec-21,1866.15,1860,1874.5,1845.05,2647733,0.14%
24-Dec-21,1863.5,1872.95,1875.75,1854,3780347,0.32%
23-Dec-21,1857.6,1831.25,1861.6,1827,4112933,1.80%
22-Dec-21,1824.7,1825,1829.15,1812.35,4156428,0.72%
21-Dec-21,1811.6,1801,1838,1801,5353584,0.71%
20-Dec-21,1798.9,1801.7,1829.65,1787.3,5773891,-1.21%
17-Dec-21,1820.85,1820,1842,1806.75,18887243,2.78%
16-Dec-21,1771.6,1762.65,1777.6,1758,4481031,2.16%
15-Dec-21,1734.2,1745,1747.95,1721.2,3053149,-1.02%
14-Dec-21,1752.15,1730.9,1763,1710.35,4768144,0.43%
13-Dec-21,1744.65,1767.05,1771.35,1738.8,4040584,-0.83%
10-Dec-21,1759.25,1760,1763.75,1746,1823469,-0.24%
9-Dec-21,1763.45,1759,1769.4,1742,2082171,0.58%
8-Dec-21,1753.35,1733,1759.8,1732.6,3029169,2.44%
7-Dec-21,1711.65,1701.1,1724.9,1694,4202122,0.96%
6-Dec-21,1695.3,1730,1733.95,1691.5,3991449,-2.32%
3-Dec-21,1735.55,1771.1,1786.65,1732.55,6754012,-0.73%
2-Dec-21,1748.25,1715,1750.5,1711.35,5559574,1.94%
1-Dec-21,1714.9,1715,1741.9,1713,5193264,0.13%
30-Nov-21,1712.65,1704.55,1729.9,1700.05,14808963,0.96%
29-Nov-21,1696.35,1691,1712,1669.15,3942776,0.28%
26-Nov-21,1691.65,1702.55,1718.35,1684,4494181,-1.79%
25-Nov-21,1722.4,1700,1726.2,1696.95,4476260,1.56%
24-Nov-21,1696,1740,1740.5,1688,7333061,-2.35%
23-Nov-21,1736.9,1735.1,1747.25,1710,8436160,-1.28%
22-Nov-21,1759.4,1784,1785.4,1751.15,6621839,-1.12%
18-Nov-21,1779.4,1781.6,1789.45,1759,4326924,-0.45%
17-Nov-21,1787.45,1792.55,1802,1780.7,4732492,-0.27%
16-Nov-21,1792.3,1790,1808.95,1777,6034233,0.29%
15-Nov-21,1787.15,1782.1,1800,1775.5,4354074,0.39%
12-Nov-21,1780.2,1743,1782.85,1738.05,5069009,2.71%
11-Nov-21,1733.3,1732.95,1739.75,1709,4731349,-0.39%
