Date,Price,Open,High,Low,Volume,Change(%)
25-May-22,152.6,152.9,153.25,147.6,19366472,1.29%
24-May-22,150.65,157.4,157.75,150.15,19141394,-2.87%
23-May-22,155.1,161.75,164.2,154.65,18029557,-4.20%
20-May-22,161.9,161.65,163.8,160.1,7235654,1.19%
19-May-22,160,158.55,162.05,157.8,8932407,-1.96%
18-May-22,163.2,162,164.5,160.2,12616832,0.03%
17-May-22,163.15,156,163.7,155.55,17843200,6.29%
16-May-22,153.5,154.2,156.25,151.8,13205775,-0.03%
13-May-22,153.55,160,160.3,152.95,12934346,-1.88%
12-May-22,156.5,159,161,154,21459069,-1.32%
11-May-22,158.6,154,160,153.75,15084514,2.69%
10-May-22,154.45,160.45,161.65,152.9,22602956,-6.25%
9-May-22,164.75,165.25,167.3,162.75,9952775,-1.32%
6-May-22,166.95,163.9,167.4,161.1,16768573,1.27%
5-May-22,164.85,164.2,168.4,163.4,26878516,1.60%
4-May-22,162.25,159,162.8,157.95,23661920,3.77%
2-May-22,156.35,158.15,159.25,155.9,23405519,-2.56%
29-Apr-22,160.45,166.5,167.45,159.5,15964743,-2.64%
28-Apr-22,164.8,166,166,162.45,13030499,-0.03%
27-Apr-22,164.85,167.95,168.9,163.35,13981957,-1.26%
26-Apr-22,166.95,171.1,171.7,165.7,20086229,-1.59%
25-Apr-22,169.65,171,173,168.3,12583497,-2.50%
22-Apr-22,174,174.15,176.3,173.7,10267952,-0.09%
21-Apr-22,174.15,175.7,176.7,173.9,12246720,-0.77%
20-Apr-22,175.5,176.9,177.35,174.8,10076403,-0.93%
19-Apr-22,177.15,177.3,179.8,176,17880666,0.77%
18-Apr-22,175.8,176,179,175.1,23916912,0.89%
13-Apr-22,174.25,171.4,174.85,170.7,23458303,3.17%
12-Apr-22,168.9,171,172.2,168.2,13184429,-1.34%
11-Apr-22,171.2,171,172.75,169.55,9724979,0.18%
8-Apr-22,170.9,169,171.3,168.7,9529874,1.21%
7-Apr-22,168.85,170.6,173.8,168.2,24550313,-2.29%
6-Apr-22,172.8,170.6,173.5,170.3,12969222,0.55%
