Date,Price,Open,High,Low,Volume,Change(%)
25-May-22,417,428.45,429,413.45,13540006,-2.06%
24-May-22,425.75,423.9,427.5,416,14525617,1.02%
23-May-22,421.45,421.65,431.15,419.55,16345308,0.83%
20-May-22,418,410,421.4,410,23504236,4.85%
19-May-22,398.65,400,406.8,396.2,17706724,-3.97%
18-May-22,415.15,424,427.35,414.05,20490516,-2.12%
17-May-22,424.15,408.4,425.65,405,24651585,4.64%
16-May-22,405.35,411.9,411.9,396.25,24938704,0.26%
13-May-22,404.3,387,419.35,387,71425747,8.60%
12-May-22,372.3,382,384.65,366.2,33511538,-4.08%
11-May-22,388.15,396,397,377.55,29215175,-0.92%
10-May-22,391.75,400,408.5,389.6,16540303,-3.02%
9-May-22,403.95,407.15,407.4,395,18076956,-1.13%
6-May-22,408.55,418.85,420.2,407,25142225,-4.16%
5-May-22,426.3,429,434,423.7,12240729,0.66%
4-May-22,423.5,437.95,440.6,420.7,14934742,-2.16%
2-May-22,432.85,437.95,442.95,428.5,18945234,-1.09%
29-Apr-22,437.6,440.2,447.75,436,21991752,0.36%
28-Apr-22,436.05,434.8,439.2,430.8,13875650,1.35%
27-Apr-22,430.25,429.25,432.95,425.1,13701069,-1.07%
26-Apr-22,434.9,433.9,437.45,431.6,13577513,2.29%
25-Apr-22,425.15,432.75,436,423.15,14729009,-3.12%
22-Apr-22,438.85,442.05,447.25,438,14362036,-2.05%
21-Apr-22,448.05,444.5,449.35,441.05,14124872,1.70%
20-Apr-22,440.55,431,441.7,428.25,19639290,3.67%
19-Apr-22,424.95,436.75,440.25,417,12669041,-2.04%
18-Apr-22,433.8,430,436.35,423.65,15298361,0.64%
13-Apr-22,431.05,441.8,442.85,430.1,16817981,-1.65%
12-Apr-22,438.3,450.8,450.8,435,22698696,-3.04%
11-Apr-22,452.05,457,458.9,451,14339854,0.00%
8-Apr-22,452.05,450,456.25,449.7,16315704,0.57%
7-Apr-22,449.5,456.5,459.1,448.5,19950241,-1.46%
6-Apr-22,456.15,455.9,462.7,452.6,24974477,-0.41%
5-Apr-22,458.05,450,461.9,448.3,28530470,2.53%
4-Apr-22,446.75,444.4,449.5,441.3,18657201,1.27%
1-Apr-22,441.15,434,442.25,430.85,19380324,1.71%
31-Mar-22,433.75,436,438.3,432.6,14248045,-0.44%
30-Mar-22,435.65,438.45,442.5,434.25,18149488,0.45%
29-Mar-22,433.7,436,439.35,431.4,18710736,0.23%
28-Mar-22,432.7,432,434.95,426.5,16757901,0.14%
25-Mar-22,432.1,437,437,427.65,15104414,-0.25%
24-Mar-22,433.2,430,435.4,427.55,17109723,-0.60%
23-Mar-22,435.8,443.5,447,434.6,25466395,-1.03%
22-Mar-22,440.35,428.1,441.45,421.2,30441493,2.90%
21-Mar-22,427.95,435.5,436.3,427.1,18270995,-1.35%
17-Mar-22,433.8,432,435.7,429.55,26704541,2.09%
16-Mar-22,424.9,427.05,428.55,420.7,27191170,2.72%
15-Mar-22,413.65,409.85,424.2,408,47706136,0.47%
14-Mar-22,411.7,418.75,419,404,40721277,-1.54%
11-Mar-22,418.15,413.6,421.15,407.4,51510243,-0.35%
10-Mar-22,419.6,427,434.95,414,59776817,3.38%
9-Mar-22,405.9,394.95,409.25,389.5,48376222,3.61%
8-Mar-22,391.75,390.5,395.45,376.35,55543383,-0.57%
7-Mar-22,394,401.75,401.75,387.5,44836205,-5.57%
4-Mar-22,417.25,431.85,431.85,414.75,38765185,-4.54%
3-Mar-22,437.1,458.5,458.5,435,29599672,-2.35%
2-Mar-22,447.6,452.95,454.25,444.55,25791134,-1.42%
28-Feb-22,454.05,445,457.35,440.45,34475468,-1.24%
25-Feb-22,459.75,444.85,465.7,441.6,48876182,7.43%
24-Feb-22,427.95,455.95,461.55,405.45,57265685,-10.28%
23-Feb-22,477,481.75,485.4,475.3,17703998,-0.26%
22-Feb-22,478.25,480.55,486.3,471.45,27957544,-3.28%
21-Feb-22,494.45,490.15,500.4,486.1,22592161,0.26%
18-Feb-22,493.15,498,502.65,491.5,15476803,-1.36%
17-Feb-22,499.95,505.9,511.5,498.3,27943077,0.30%
16-Feb-22,498.45,504,507.9,496.6,20176993,-1.10%
15-Feb-22,504,476.15,505.5,467.3,30623088,6.90%
14-Feb-22,471.45,487,488.5,468.8,22157389,-5.49%
11-Feb-22,498.85,503.25,507,497,13534899,-1.69%
10-Feb-22,507.45,506.7,510.5,504.2,14537945,1.24%
9-Feb-22,501.25,496.5,503.7,494.7,12430730,1.73%
8-Feb-22,492.75,498,498.5,479.15,23378623,-0.37%
7-Feb-22,494.6,502.9,504.35,492.5,13392910,-1.20%
4-Feb-22,500.6,503.8,507.8,499,12663199,-0.77%
3-Feb-22,504.5,509.1,514.3,502.85,15249245,-0.38%
